story,lang,sentences,sentence_num
1,eng,"As soon as the robbers had left the place the young shramana approached to see whether he could be of any assistance to the wounded men, He found that all the robbers were dead, and there was only a little life left in the chief, He at once went down to the little brooklet which was murmoring near by, fetched fresh water in his bowl and brought it to the dying man.",79
1,eng,"Mahaduta opened his eyes and, gnashing his teeth, said: ""Where are those ungrateful dogs whom I have led to victory and success?",80
1,eng,"Without me as their chief they will soon perish like jackals hunted down by skillful hunters.""",81
1,eng,"""Do not think of your comrades, the companions of your sinful life,"" said Panthaka, ""but think of your soul and accept in the last moment the chance of salvation that is offered you.",82
1,eng,"Here is water to drink, and let me dress your wounds; perhaps I may save your life.""",83
1,eng,"""Alas!",84
1,eng,"alas!""",85
1,eng,"replied Mahaduta, ""are you not the man whom I beat but yesterday and now you come to my assistance, to assuage my pain?",86
1,eng,"You bring me fresh water to quench my thirst, and try to save my life!",87
1,eng,"It is useless, honorable sir, I am a doomed man.",88
1,eng,The churls have wounded me unto death the ungrateful cowards!,89
1,eng,"They have dealt me the blows which I taught them.""",90
1,eng,"""You reap what you have sown;"" continued the shramana, ""had you taught your comrades acts of kindness, you would have received from them acts of kindness, but having taught them the lesson of slaughter, it is but your own deed that you are slain by their hands.""",91
1,eng,"""True, very true,"" said the robber chief, my fate is well deserved; but how sad is my lot, that I must reap the full harvest of all my evil deeds in future existences!",92
1,eng,"Advise me, O holy sir, what I can do to lighten the sins of my life which oppress me like a great rock placed upon my breast, taking away the breath of my lungs.""",93
1,eng,"Said Panthaka: ""Root out your sinful desires; destroy all evil passions, and fill your soul with kindness toward all your fellow beings.""",94
1,eng,"The robber chief said: ""I have done much evil and no good.",95
1,eng,How can I extricate myself from the net of sorrow which I have woven out of the evil desires of my own heart?,96
1,eng,"My Karma will lead me to hell and I shall never be able to walk on the path of salvation.""",97
1,eng,"Said the shramana: ""Indeed your Karma will in its future incarnations reap the seeds of evil that you have sown.",98
1,eng,There is no escape for an evil doer from the consequences of his own actions.,99
1,eng,But there is no cause for despair.,100
1,eng,The man who is converted and has rooted out the illusion of self with all its lusts and sinful desires will be a source of blessing to himself and others.,101
1,eng,As an illustration I will tell you the story of the great robber Kandata who died without repentance and was reborn as a demon in hell where he suffered for his evil deeds the most terrible agonies and pains.,102
1,eng,He had been in hell several kalpas and was unable to rise out of his wretched condition when Buddha appeared upon earth and attained to the blessed state of enlightenment.,103
1,eng,"At that memorable moment a ray of light fell dawn into hell quickening all the demons with fear and hope, and the robber Kandata cried aloud: 'O blessed Buddha, have mercy upon me!",104
1,eng,"I suffer greatly and although I have done evil, I am anxious to walk in the noble path of righteousness.",105
1,eng,But I cannot extricate myself from the net of sorrow.,106
1,eng,"Help me, O Lord; have mercy on me!'",107
1,eng,"Now it is, the law of Karma that evil deeds lead to destruction, for absolute evil is so bad that it cannot exist.",108
1,eng,Absolute evil involves impossibility of existence.,109
1,eng,But good deeds lead to life.,110
1,eng,"Thus there is a final end of every decd that is done, but there is no end in the development of good deeds.",111
1,eng,"The least act of goodness bears fruits containing new seeds of goodness and they continue to grow, they nourish the soul in its weary transmigrations until it reaches the final deliverance from all evil in Nirvana.",112
1,eng,"When Buddha, the Lord, heard the prayer of the demon suffering in hell, he sent down a spider on a cobweb and the spider said: 'Take hold of the web and climb up.'",113
1,eng,"When the spider had again disappeared out of sight, Kandata made great efforts to climb up and he succeeded.",114
1,eng,"The web was so strong that it held, and he ascended higher and higher.",115
1,eng,"Suddenly he felt the thread trembling and shaking, for behind him other fellow sufferers of his were beginning to climb up.",116
1,eng,Kandata became frightened.,117
1,eng,"He saw the thinness of the web, and observed that it was elastic, for under the increased weight it stretched out; yet it still seemed strong enough to carry him.",118
1,eng,"Kandata had heretofore only looked up; he now looked down and saw following close upon his heels, also climbing up on the cobweb a numberless mob of the denizens of hell.",119
1,eng,"How can this thin thread bear the weight of all, he thought to himself, and seized with fear he shouted loudly: 'Let go the cobweb.",120
1,eng,It is mine!',121
1,eng,At once the cobweb broke and Kandata fell back into hell.,122
1,eng,The illusion of self was still upon Kandata.,123
1,eng,He did not know the miraculous power of a sincere longing to rise upwards and enter the noble path of righteousness.,124
1,eng,"It is thin like a cobweb but it will carry millions of people, and the more there are that climb it, the easier will be the efforts of every one of them.",125
1,eng,"But as soon as in a man's heart the idea arises; 'This is mine; let the bliss of righteousness be mine alone and let no one else partake of it,' the thread breaks, and you fall back into your old condition of selfhood, for selfhood is damnation and truth is bliss.",126
1,eng,What is hell?,127
1,eng,"It is nothing but egotism, and Nirvana is a life of righteousness.""",128
1,eng,"""Let me take hold of a spiderweb,"" said the dying robber chief, when the shramana had finished his story, ""and I shall pull myself up out of the depth of hell.""",129
1,eng,Mahaduta lay for a while quiet to collect his thoughts.,130
1,eng,"Then he continued: ""Listen, honorable sir, I will make a confession: I was the servant of Pandu, the jeweller of Kaushambi, but when he unjustly had me tortured I ran away and became a chief of robbers. heard through my spies that he was passing through the mountains I succeeded in robbing him of a great part of his wealth.",131
1,eng,"Will you now go to him and tell him that I have forgiven him from the bottom of my heart the injury which he has unjustly inflicted upon me, and ask him, too, to pardon me for having robbed him.",132
1,eng,"While I stayed with him his heart was as hard as stone, and I learned to imitate the selfishness of his character.",133
1,eng,I have heard that he has become benevolent and is now pointed out as an example of goodness and justice.,134
1,eng,I do not wish to remain in his debt.,135
1,eng,"Therefore inform him that I have kept the gold crown, which he wrought for the king, and all his treasures, and have hidden them in a cave near by.",136
1,eng,"There were only two of the robbers under my command who knew of it, and both are now dead.",137
1,eng,"Let Pandu take a number of armed men and come to the place and take back the property of which I have deprived him.""",138
1,eng,Then Mahaduta described the situation of the cave and died in the arms of Panthaka.,139
1,eng,"As soon as Panthaka, the young shramana, had reached Kaushambi, he went to the jeweller and gave him a full account of his recent adventure in the forest.",140
1,eng,"And Pandu went with an escort of armed men and secured the treasures which the robber-chief had concealed in the cave; and they buried the robber-chief and his slain comrades with all honors, and Panthaka spoke at the grave, discoursing on the words of Buddha: ""By one's self evil is done; by one's self one suffers.",141
1,eng,By one's self evil is left undone; by one's self one is purified.,142
1,eng,Purity and impurity belong to one's self; no one can purify another.,143
1,eng,You yourself must make an effort.,144
1,eng,"The Buddhas are only preachers.""",145
1,eng,"""Our karma,"" the shramana said, ""is not the work of Ishvara, or Brahma, or Indra, or of any one of the gods.",146
1,eng,Our karma is the product of our own actions.,147
1,eng,My action is the womb that bears me; it is the inheritance which devolves upon me ; it is the curse of my misdeeds and the blessing of my righteousness.,148
1,eng,"My action is the resource by which alone I can work out my salvation.""",149
1,eng,"Pandu carried all his treasures back to Kaushambi, and, using with discretion the wealth thus unexpectedly regained, he became richer and more powerful than he had ever been before, and when he was dying at an advanced age he had all his sons and daughters and grandchildren gathered round him and said unto them : "" My dear children, do not blame others for your lack of success.",150
1,eng,Seek the cause of your ills in yourself.,151
1,eng,"Unless you are blinded by vanity you will find it, and having found it you will see the way out of it.",152
1,eng,"The remedy of your ills, too, lies in yourself.",153
1,eng,"Let never your mental eye be covered by the veil of Maya, and remember the words which have proved a talisman in my life: ""He who hurts others injures himself.",154
1,eng,He who helps others advances his own interests.,155
1,eng,Let the illusion of self disappear.,156
1,eng,"And you will naturally walk in the path of truth.""",157
2,rus,"Панду, богатый ювелир браминской касты, ехал с своим слугой в Бенарес.",1
2,rus,"Догнав по пути монаха почтенного вида, который шел по тому же направлению, он подумал сам с собой: «Этот монах имеет благородный и святой вид.",2
2,rus,"Общение с добрыми людьми приносит счастье; если он также идет в Бенарес, я приглашу его ехать со мной в моей колеснице».",3
2,rus,"И, поклонившись монаху, он спросил его, куда он идет, и, узнав, что монах, имя которого было Нарада, идет также в Бенарес, он пригласил его в свою колесницу.  — Благодарю вас за вашу доброту, — сказал монах брамину, — я действительно измучен продолжительным путешествием.",4
2,rus,"Не имея собственности, я не могу вознаградить вас деньгами, но может случиться, что я буду в состоянии воздать вам каким-либо духовным сокровищем из богатства знания, которое я приобрел, следуя учению Сакия Муни, блаженного великого Будды, учителя человечества.",5
2,rus,"Они поехали вместе в колеснице, и Панду дорогою слушал с удовольствием поучительные речи Нарада.",6
2,rus,"Проехав один час, они подъехали к месту, где дорога была размыта с обеих сторон и телега земледельца с сломанным колесом загораживала путь.",7
2,rus,"Девала, владетель телеги, ехал в Бенарес, чтобы продать свой рис, и торопился поспеть до зари следующего утра.",8
2,rus,"Если бы он опоздал днем, покупатели риса могли уже уехать из города, скупив нужное им количество риса.",9
2,rus,"Когда ювелир увидал, что он не может продолжать путь, если телега земледельца не будет сдвинута, он рассердился и приказал Магадуте, рабу своему, сдвинуть телегу в сторону, так, чтобы колесница могла проехать.",10
2,rus,"Земледелец противился, потому что воз его лежал так близко к обрыву, что мог рассыпаться, если его тронуть, но брамин не хотел слушать земледельца и приказал своему слуге сбросить воз с рисом.",11
2,rus,"Магадута, необыкновенно сильный человек, находивший удовольствие в оскорблении людей, повиновался, прежде чем монах мог вступиться, и сбросил воз.",12
2,rus,"Когда Панду проехал и хотел продолжать свой путь, монах выскочил из его колесницы и сказал:  — Извините меня, господин, за то, что я покидаю вас.",13
2,rus,"Бла-' годарю вас за то, что вы по своей доброте позволили мне проехать один час в вашей колеснице.",14
2,rus,"Я был измучен, когда вы посадили меня, но теперь благодаря вашей любезности я отдохнул.",15
2,rus,"Признав же в этом земледельце воплощение одного из ваших предков, я не могу ничем лучше вознаградить вас за вашу доброту, как тем, чтобы помочь ему в его несчастье.",16
2,rus,"Брамин взглянул с удивлением на монаха.  — Вы говорите, что этот земледелец есть воплощение одного из моих предков; этого не может быть.  —Я знаю, — отвечал монах, — что вам неизвестны те сложные и значительные связи, которые соединяют вас с судьбою этого земледельца.",17
2,rus,"Но от слепого нельзя ожидать того, чтобы он видел, и потому я сожалею о том, что вы вредите сами себе, и постараюсь защитить вас от тех ран, которые вы собираетесь нанести себе.",18
2,rus,"Богатый купец не привык к тому, чтобы его укоряли; чувствуя же, что слова монаха, хотя и сказанные с большой добротой, содержали в себе язвительный упрек, он приказал слуге своему тотчас же ехать далее.",19
2,rus,"Монах поздоровался с Девалой земледельцем и стал помогать ему в починке его телеги и в том, чтобы подобрать рассыпавшийся рис.",20
2,rus,"Дело шло быстро, и Девала подумал:  «Этот монах, должно быть, святой человек, — ему как будто помогают невидимые духи.",21
2,rus,"Спрошу его, чем я заслужил жестокое со мной обращение гордого брамина».",22
2,rus,И он сказал:  . —Почтенный господин!,23
2,rus,"не можете ли вы сказать мне, за что я потерпел несправедливость от человека, которому я никогда не сделал ничего худого?",24
2,rus,"Монах сказал:  —Любезный друг, вы не потерпели несправедливости, но только потерпели в теперешнем существовании то, что вы совершили над этим брамином в прежней жизни.",25
2,rus,"И я не ошибусь, сказавши, что даже и теперь вы бы сделали над брамином то же самое, что он сделал с вами, если бы были на его месте и имели такого же сильного слугу.",26
2,rus,"Земледелец признался, что если бы он имел власть, то не раскаялся бы, поступив с другим человеком, загородившим ему дорогу, так же, как брамин поступил с ним.",27
2,rus,"Рис был убран в воз, и монах с земледельцем приближались уже к Бенаресу, когда лошадь вдруг шарахнулась в сторону.  —Змея, змея! — воскликнул земледелец.",28
2,rus,"Но монах, пристально взглянув на предмет, испугавший лошадь, соскочил с телеги и увидал, что это был кошелек, полный золота.",29
2,rus,"«Никто, кроме богатого ювелира, не мог потерять этот кошелек», — подумал он и, взяв кошелек, подал его земледельцу, сказав: —Возьмите этот кошелек и, когда будете в Бенаресе, подъезжайте к гостинице, которую я укажу вам, спросите брамина Панду и отдайте кошелек.",30
2,rus,"Он будет извиняться перед вами за грубость своего поступка, но вы скажите ему, что вы простили его и желаете ему успеха во всех его предприятиях, потому что, верьте мне, чем больше будут его успехи, тем лучше это будет для вас.",31
2,rus,Ваша судьба во многом зависит от его судьбы.,32
2,rus,"Если бы Панду спросил у вас объяснений, то пошлите его в монастырь, где он всегда найдет меня в готовности помочь ему советом, если совет нужен ему.",33
2,rus,"Панду между тем приехал в Бенарес и встретил Малмеку, своего торгового приятеля, богатого банкира.  — Я погиб, — сказал Малмека, — и не могу делать никаких 20 дел, если нынче же не куплю воз лучшего риса для царской кухни.",34
2,rus,"Есть в Бенаресе мой враг банкир, который, узнав то,, что я сделал условие с царским дворецким о том, что я доставлю ему сегодня утром воз риса, желая погубить меня, скупил весь, рис в Бенаресе.",35
2,rus,"Царский дворецкий не освободит меня от условия, и завтра я пропал, если Кришна не пошлет мне ангела с неба.",36
2,rus,"В то время как Малмека жаловался на свое несчастье, Панду хватился своего кошелька.",37
2,rus,"Обыскав свою колесницу и не найдя его, он заподозрил своего раба Магадуту и призвал полицейских, обвинил его и, велев привязать его, жестоко мучил, чтобы вынудить от него признание.",38
2,rus,"Раб кричал, страдая:  — Я невиновен, отпустите меня!",39
2,rus,Я не могу переносить этих мук!,40
2,rus,Я совершенно невинен в этом преступлении и страдаю теперь за грехи других!,41
2,rus,"О, если бы я мог выпросить прощение у того земледельца, которому я сделал зло ради моего хозяина!",42
2,rus,"Мучения эти, верно, служат наказанием за мою жестокость.",43
2,rus,"В то время как полицейские еще продолжали бить раба, земледелец подъехал к гостинице и к великому удивлению всех подал кошелек.",44
2,rus,"Раба тотчас же освободили из рук его мучилтелей, но, будучи недоволен своим хозяином, он убежал от него и присоединился к шайке разбойников, живших в горах.",45
2,rus,"Когда же Малмека услыхал, что земледелец может продать самого лучшего рису, годного для царского стола, он тотчас же купил весь воз за тройную цену, а Панду, радуясь в сердце своем возвращению денег, тотчас же поспешил в монастырь, чтобы получить от монаха те объяснения, которые он обещал ему.",46
2,rus,"Нарада сказал: — Я бы мог дать вам объяснение, но, зная, что вы неспособны понять духовную истину, я предпочитаю молчание.",47
2,rus,"Однако я дам вам общий совет: обращайтесь с каждым человеком, которого вы встретите, так же, как с самим собой, служите ему так же, как вы желали бы, чтобы вам служили.",48
2,rus,"Таким образом вы посеете семя добрых дел, и богатая жатва их не минует вас.  — О, монах!",49
2,rus,"дайте мне объяснение, — сказал Панду, — и мне легче будет тогда следовать вашему совету.",50
2,rus,"И монах сказал:  — Слушайте же, я дам вам ключ к тайне: если вы и не поймете ее, верьте тому, что я скажу вам.",51
2,rus,"Считать себя отдельным существом есть обман, и тот, кто направляет свой ум на то, чтобы исполнять волю этого отдельного существа, следует за ложным светом, который приведет его в бездну греха.",52
2,rus,"То, что мы считаем себя отдельными существами, происходит оттого, что покрывало Майи ослепляет наши глаза и мешает нам видеть неразрывную связь с нашими ближними, мешает нам проследить наше единство с душами других существ.",53
2,rus,Немногие знают эту истину.,54
2,rus,"Пусть следующие слова будут вашим талисманом:  «Тот, кто вредит другим, делает зло себе.",55
2,rus,"Тот, кто помогает другим, делает добро себе.",56
2,rus,Перестаньте считать себя отдельным существом — и вы вступите на путь истины.,57
2,rus,"Для того, чье зрение омрачено покрывалом Майи, весь мир кажется разрезанным на бесчисленные личности.",58
2,rus,"И такой человек не может понимать значения всеобъемлющей любви ко всему живому»  Панду отвечал:  — Ваши слова, почтенный господин, имеют глубокое значение, и я запомню их.",59
2,rus,"Я сделал небольшое добро, которое мне ничего не стоило, для бедного монаха во время моей поездки в Бенарес, и вот как благодетельны оказались его последствия.",60
2,rus,"Я много обязан вам, потому что без вас я не только потерял бы •свой кошелек, но не мог бы делать в Бенаресе тех торговых дел, которые значительно увеличили мое состояние.",61
2,rus,"Кроме того, ваша заботливость и прибытие воза риса содействовали благосостоянию моего друга Малмеки.",62
2,rus,"Если бы все люди познали истину ваших правил, насколько лучше бы был наш мир, как уменьшилось бы зло в нем и возвысилось общее благосостояние!",63
2,rus,"Я желал бы, чтобы истина Будды была понята всеми, и потому я хочу основать монастырь в моей родине Колшамби и приглашаю вас посетить меня с тем, чтобы я мог посвятить это место для братства учеников Будды.",64
2,rus,"Прошли годы, и основанный Панду монастырь Колшамби сделался местом собрания мудрых монахов и стал известным как центр просвещения для народа.",65
2,rus,"В это время соседний царь, услыхав о красоте драгоценных украшений, приготовляемых Панду, послал к нему своего казначея, чтобы заказать корону чистого золота, украшенную самыми драгоценными камнями Индии.",66
2,rus,"Kогда Панду окончил эту работу, он поехал в столицу царя и, надеясь делать там торговые дела, взял с собой большой запас золота.",67
2,rus,"Караван, везший его драгоценности, был охраняем вооруженными людьми, но когда он достиг гор, то разбойники, с Магадутой, ставшим атаманом их, во главе, напади на него, побили охрану и захватили все драгоценные камни и золото.",68
2,rus,Сам Панду едва спасся.,69
2,rus,Это несчастие было большим ударом для благосостояния Панду: богатство его значительно уменьшилось.,70
2,rus,"Панду был очень огорчен, но переносил свои несчастия без ропота; он думал: «Я заслужил эти потери грехами, совершенными мною в моей прежней жизни.",71
2,rus,"Я в молодости был жесток с народом; и если я теперь пожинаю плоды своих дурных дел, то мне нельзя жаловаться».",72
2,rus,"Так как он стал много добрее ко всем существам, то несчастья его послужили только к очищению его сердца.",73
2,rus,"Опять прошли годы, и случилось, что Пантака, молодой монах и ученик Нарады, путешествуя в горах Колшамби, попал в руки разбойников.",74
2,rus,"Так как у него не было никакой собственности, атаман разбойников крепко избил его и отпустил.",75
2,rus,"На следующее утро Пантака, идя через лес, услыхал шум битвы и, придя на этот шум, увидал много разбойников, которые с бешенством нападали на своего атамана Магадуту.",76
2,rus,"Магадута, как лев, окруженный собаками, отбивался от них и убил многих из нападавших.",77
2,rus,"Но врагов его было слишком много, и под конец он был побежден и упал на землю замертво, покрытый ранами.",78
2,rus,"Как только разбойники ушли, молодой монах подошел к лежавшим, желая подать помощь раненым.",79
2,rus,"Но все разбойники ы были уже мертвы, только в начальнике их оставалось немного жизни.",80
2,rus,"Монах тотчас же направился к ручейку, бежавшему невдалеке, принес свежей воды в своем кувшине и подал умирающему.",81
2,rus,"Магадута открыл глаза и, скрипя зубами, сказал:  — Где эти неблагодарные собаки, которых я столько раз водил к победе и успеху?",82
2,rus,"Без меня они скоро погибнут, как затравленные охотником шакалы.  — Не думайте о ваших товарищах и участниках вашей грешной жизни, — сказал Пантака, — но подумайте о вашей душе п и воспользуйтесь в последний час той возможностью спасенья, которая представляется вам.",83
2,rus,"Вот вам вода для питья, дайте я перевяжу ваши раны.",84
2,rus,"Может быть, мне и удастся спасти вашу жизнь.  — Это бесполезно, — отвечал Магадута, — я приговорен; негодяи смертельно ранили меня.",85
2,rus,Неблагодарные подлецы!,86
