sliding.sentences,story,lang,sentence_num,prop_num
"business to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in the same direction, he",1,eng,30,0.007545271629778672
"to Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought",1,eng,31,0.007796780684104628
"Vârânasî, and overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought to",1,eng,32,0.008048289738430584
"and overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought to himself:",1,eng,33,0.00829979879275654
"overtaking on his way a monk of venerable appearance who was walking in the same direction, he thought to himself: ""This",1,eng,34,0.008551307847082495
"on his way a monk of venerable appearance who was walking in the same direction, he thought to himself: ""This shramana",1,eng,35,0.008802816901408451
"his way a monk of venerable appearance who was walking in the same direction, he thought to himself: ""This shramana looks",1,eng,36,0.009054325955734407
"way a monk of venerable appearance who was walking in the same direction, he thought to himself: ""This shramana looks noble",1,eng,37,0.009305835010060362
"a monk of venerable appearance who was walking in the same direction, he thought to himself: ""This shramana looks noble and",1,eng,38,0.009557344064386318
"monk of venerable appearance who was walking in the same direction, he thought to himself: ""This shramana looks noble and saintly.",1,eng,39,0.009808853118712274
"of venerable appearance who was walking in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship",1,eng,40,0.01006036217303823
"venerable appearance who was walking in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with",1,eng,41,0.010311871227364185
"appearance who was walking in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good",1,eng,42,0.01056338028169014
"who was walking in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men",1,eng,43,0.010814889336016096
"was walking in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings",1,eng,44,0.011066398390342052
"walking in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck;",1,eng,45,0.011317907444668008
"in the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should",1,eng,46,0.011569416498993963
"the same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he",1,eng,47,0.011820925553319919
"same direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he also",1,eng,48,0.012072434607645875
"direction, he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he also be",1,eng,49,0.01232394366197183
"he thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he also be going",1,eng,50,0.012575452716297788
"thought to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he also be going to",1,eng,51,0.012826961770623743
"to himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he also be going to Vârânasî,",1,eng,52,0.013078470824949699
"himself: ""This shramana looks noble and saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I",1,eng,53,0.013329979879275655
"""This shramana looks noble and saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I will",1,eng,54,0.01358148893360161
"shramana looks noble and saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I will invite",1,eng,55,0.013832997987927566
"looks noble and saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I will invite him",1,eng,56,0.014084507042253521
"noble and saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I will invite him to",1,eng,57,0.014336016096579477
"and saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I will invite him to ride",1,eng,58,0.014587525150905433
"saintly. Companionship with good men brings luck; should he also be going to Vârânasî, I will invite him to ride with",1,eng,59,0.014839034205231388
"Companionship with good men brings luck; should he also be going to Vârânasî, I will invite him to ride with me",1,eng,60,0.015090543259557344
"with good men brings luck; should he also be going to Vârânasî, I will invite him to ride with me in",1,eng,61,0.0153420523138833
"good men brings luck; should he also be going to Vârânasî, I will invite him to ride with me in my",1,eng,62,0.015593561368209255
"men brings luck; should he also be going to Vârânasî, I will invite him to ride with me in my carriage.”",1,eng,63,0.01584507042253521
"brings luck; should he also be going to Vârânasî, I will invite him to ride with me in my carriage.” Having",1,eng,64,0.01609657947686117
"luck; should he also be going to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted",1,eng,65,0.016348088531187122
"should he also be going to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the",1,eng,66,0.01659959758551308
"he also be going to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the shramana",1,eng,67,0.016851106639839034
"also be going to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the shramana he",1,eng,68,0.01710261569416499
"be going to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the shramana he told",1,eng,69,0.017354124748490945
"going to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the shramana he told him",1,eng,70,0.017605633802816902
"to Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the shramana he told him whither",1,eng,71,0.017857142857142856
"Vârânasî, I will invite him to ride with me in my carriage.” Having saluted the shramana he told him whither he",1,eng,72,0.018108651911468814
I will invite him to ride with me in my carriage.” Having saluted the shramana he told him whither he was,1,eng,73,0.018360160965794767
will invite him to ride with me in my carriage.” Having saluted the shramana he told him whither he was driving,1,eng,74,0.018611670020120725
invite him to ride with me in my carriage.” Having saluted the shramana he told him whither he was driving and,1,eng,75,0.01886317907444668
him to ride with me in my carriage.” Having saluted the shramana he told him whither he was driving and at,1,eng,76,0.019114688128772636
to ride with me in my carriage.” Having saluted the shramana he told him whither he was driving and at what,1,eng,77,0.01936619718309859
ride with me in my carriage.” Having saluted the shramana he told him whither he was driving and at what inn,1,eng,78,0.019617706237424547
with me in my carriage.” Having saluted the shramana he told him whither he was driving and at what inn he,1,eng,79,0.0198692152917505
me in my carriage.” Having saluted the shramana he told him whither he was driving and at what inn he intended,1,eng,80,0.02012072434607646
in my carriage.” Having saluted the shramana he told him whither he was driving and at what inn he intended to,1,eng,81,0.020372233400402416
my carriage.” Having saluted the shramana he told him whither he was driving and at what inn he intended to stay,1,eng,82,0.02062374245472837
carriage.” Having saluted the shramana he told him whither he was driving and at what inn he intended to stay in,1,eng,83,0.020875251509054327
Having saluted the shramana he told him whither he was driving and at what inn he intended to stay in Vârânasî.,1,eng,84,0.02112676056338028
saluted the shramana he told him whither he was driving and at what inn he intended to stay in Vârânasî. Learning,1,eng,85,0.02137826961770624
the shramana he told him whither he was driving and at what inn he intended to stay in Vârânasî. Learning that,1,eng,86,0.021629778672032193
shramana he told him whither he was driving and at what inn he intended to stay in Vârânasî. Learning that the,1,eng,87,0.02188128772635815
"he told him whither he was driving and at what inn he intended to stay in Vârânasî. Learning that the shramana,",1,eng,88,0.022132796780684104
"told him whither he was driving and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose",1,eng,89,0.02238430583501006
"him whither he was driving and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name",1,eng,90,0.022635814889336015
"whither he was driving and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was",1,eng,91,0.022887323943661973
"he was driving and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada,",1,eng,92,0.023138832997987926
"was driving and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also",1,eng,93,0.023390342052313884
"driving and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was",1,eng,94,0.023641851106639838
"and at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling",1,eng,95,0.023893360160965795
"at what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to",1,eng,96,0.02414486921529175
"what inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî,",1,eng,97,0.024396378269617706
"inn he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he",1,eng,98,0.02464788732394366
"he intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked",1,eng,99,0.024899396378269618
"intended to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him",1,eng,100,0.025150905432595575
"to stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to",1,eng,101,0.02540241448692153
"stay in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept",1,eng,102,0.025653923541247486
"in Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a",1,eng,103,0.02590543259557344
"Vârânasî. Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat",1,eng,104,0.026156941649899398
"Learning that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in",1,eng,105,0.02640845070422535
"that the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his",1,eng,106,0.02665995975855131
"the shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his carriage.",1,eng,107,0.026911468812877263
"shramana, whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I",1,eng,108,0.02716297786720322
"whose name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am",1,eng,109,0.027414486921529174
"name was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged",1,eng,110,0.02766599597585513
"was Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to",1,eng,111,0.027917505030181086
"Nârada, also was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to you",1,eng,112,0.028169014084507043
"also was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to you for",1,eng,113,0.028420523138832997
"was travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to you for your",1,eng,114,0.028672032193158954
"travelling to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to you for your kindness,”",1,eng,115,0.028923541247484908
"to Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to you for your kindness,” said",1,eng,116,0.029175050301810865
"Vârânasî, he asked him to accept a seat in his carriage. ""I am obliged to you for your kindness,” said the",1,eng,117,0.02942655935613682
"he asked him to accept a seat in his carriage. ""I am obliged to you for your kindness,” said the shramana",1,eng,118,0.029678068410462777
"asked him to accept a seat in his carriage. ""I am obliged to you for your kindness,” said the shramana to",1,eng,119,0.02992957746478873
"him to accept a seat in his carriage. ""I am obliged to you for your kindness,” said the shramana to the",1,eng,120,0.030181086519114688
"to accept a seat in his carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman,",1,eng,121,0.030432595573440645
"accept a seat in his carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman, for",1,eng,122,0.0306841046277666
"a seat in his carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman, for I",1,eng,123,0.030935613682092557
"seat in his carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman, for I am",1,eng,124,0.03118712273641851
"in his carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman, for I am quite",1,eng,125,0.031438631790744465
"his carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman, for I am quite worn",1,eng,126,0.03169014084507042
"carriage. ""I am obliged to you for your kindness,” said the shramana to the Brahman, for I am quite worn out",1,eng,127,0.03194164989939638
"""I am obliged to you for your kindness,” said the shramana to the Brahman, for I am quite worn out by",1,eng,128,0.03219315895372234
"am obliged to you for your kindness,” said the shramana to the Brahman, for I am quite worn out by the",1,eng,129,0.03244466800804829
"obliged to you for your kindness,” said the shramana to the Brahman, for I am quite worn out by the long",1,eng,130,0.032696177062374245
"to you for your kindness,” said the shramana to the Brahman, for I am quite worn out by the long journey.",1,eng,131,0.0329476861167002
"you for your kindness,” said the shramana to the Brahman, for I am quite worn out by the long journey. Having",1,eng,132,0.03319919517102616
"for your kindness,” said the shramana to the Brahman, for I am quite worn out by the long journey. Having no",1,eng,133,0.03345070422535211
"your kindness,” said the shramana to the Brahman, for I am quite worn out by the long journey. Having no possessions",1,eng,134,0.03370221327967807
"kindness,” said the shramana to the Brahman, for I am quite worn out by the long journey. Having no possessions in",1,eng,135,0.033953722334004025
"said the shramana to the Brahman, for I am quite worn out by the long journey. Having no possessions in this",1,eng,136,0.03420523138832998
"the shramana to the Brahman, for I am quite worn out by the long journey. Having no possessions in this world,",1,eng,137,0.03445674044265593
"shramana to the Brahman, for I am quite worn out by the long journey. Having no possessions in this world, I",1,eng,138,0.03470824949698189
"to the Brahman, for I am quite worn out by the long journey. Having no possessions in this world, I cannot",1,eng,139,0.03495975855130785
"the Brahman, for I am quite worn out by the long journey. Having no possessions in this world, I cannot repay",1,eng,140,0.035211267605633804
"Brahman, for I am quite worn out by the long journey. Having no possessions in this world, I cannot repay you",1,eng,141,0.03546277665995976
"for I am quite worn out by the long journey. Having no possessions in this world, I cannot repay you in",1,eng,142,0.03571428571428571
"I am quite worn out by the long journey. Having no possessions in this world, I cannot repay you in money;",1,eng,143,0.03596579476861167
"am quite worn out by the long journey. Having no possessions in this world, I cannot repay you in money; but",1,eng,144,0.03621730382293763
"quite worn out by the long journey. Having no possessions in this world, I cannot repay you in money; but it",1,eng,145,0.036468812877263584
"worn out by the long journey. Having no possessions in this world, I cannot repay you in money; but it may",1,eng,146,0.036720321931589535
"out by the long journey. Having no possessions in this world, I cannot repay you in money; but it may happen",1,eng,147,0.03697183098591549
"by the long journey. Having no possessions in this world, I cannot repay you in money; but it may happen that",1,eng,148,0.03722334004024145
"the long journey. Having no possessions in this world, I cannot repay you in money; but it may happen that I",1,eng,149,0.03747484909456741
"long journey. Having no possessions in this world, I cannot repay you in money; but it may happen that I can",1,eng,150,0.03772635814889336
"journey. Having no possessions in this world, I cannot repay you in money; but it may happen that I can reward",1,eng,151,0.037977867203219315
"Having no possessions in this world, I cannot repay you in money; but it may happen that I can reward you",1,eng,152,0.03822937625754527
"no possessions in this world, I cannot repay you in money; but it may happen that I can reward you with",1,eng,153,0.03848088531187123
"possessions in this world, I cannot repay you in money; but it may happen that I can reward you with some",1,eng,154,0.03873239436619718
"in this world, I cannot repay you in money; but it may happen that I can reward you with some spiritual",1,eng,155,0.03898390342052314
"this world, I cannot repay you in money; but it may happen that I can reward you with some spiritual treasure",1,eng,156,0.039235412474849095
"world, I cannot repay you in money; but it may happen that I can reward you with some spiritual treasure out",1,eng,157,0.03948692152917505
I cannot repay you in money; but it may happen that I can reward you with some spiritual treasure out of,1,eng,158,0.039738430583501
cannot repay you in money; but it may happen that I can reward you with some spiritual treasure out of the,1,eng,159,0.03998993963782696
repay you in money; but it may happen that I can reward you with some spiritual treasure out of the wealth,1,eng,160,0.04024144869215292
you in money; but it may happen that I can reward you with some spiritual treasure out of the wealth of,1,eng,161,0.040492957746478875
in money; but it may happen that I can reward you with some spiritual treasure out of the wealth of the,1,eng,162,0.04074446680080483
money; but it may happen that I can reward you with some spiritual treasure out of the wealth of the information,1,eng,163,0.04099597585513078
but it may happen that I can reward you with some spiritual treasure out of the wealth of the information I,1,eng,164,0.04124748490945674
it may happen that I can reward you with some spiritual treasure out of the wealth of the information I have,1,eng,165,0.0414989939637827
may happen that I can reward you with some spiritual treasure out of the wealth of the information I have received,1,eng,166,0.041750503018108655
happen that I can reward you with some spiritual treasure out of the wealth of the information I have received while,1,eng,167,0.042002012072434605
that I can reward you with some spiritual treasure out of the wealth of the information I have received while following,1,eng,168,0.04225352112676056
"I can reward you with some spiritual treasure out of the wealth of the information I have received while following Shâkyamuni,",1,eng,169,0.04250503018108652
"can reward you with some spiritual treasure out of the wealth of the information I have received while following Shâkyamuni, the",1,eng,170,0.04275653923541248
"reward you with some spiritual treasure out of the wealth of the information I have received while following Shâkyamuni, the Blessed",1,eng,171,0.04300804828973843
"you with some spiritual treasure out of the wealth of the information I have received while following Shâkyamuni, the Blessed One,",1,eng,172,0.043259557344064385
"with some spiritual treasure out of the wealth of the information I have received while following Shâkyamuni, the Blessed One, the",1,eng,173,0.04351106639839034
"some spiritual treasure out of the wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great",1,eng,174,0.0437625754527163
"spiritual treasure out of the wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha,",1,eng,175,0.04401408450704225
"treasure out of the wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the",1,eng,176,0.04426559356136821
"out of the wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher",1,eng,177,0.044517102615694165
"of the wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of",1,eng,178,0.04476861167002012
"the wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.”",1,eng,179,0.04502012072434608
"wealth of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both",1,eng,180,0.04527162977867203
"of the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled",1,eng,181,0.04552313883299799
"the information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together",1,eng,182,0.045774647887323945
"information I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in",1,eng,183,0.0460261569416499
"I have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the",1,eng,184,0.04627766599597585
"have received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage",1,eng,185,0.04652917505030181
"received while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and",1,eng,186,0.04678068410462777
"while following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu",1,eng,187,0.047032193158953725
"following Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened",1,eng,188,0.047283702213279676
"Shâkyamuni, the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with",1,eng,189,0.04753521126760563
"the Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure",1,eng,190,0.04778672032193159
"Blessed One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to",1,eng,191,0.04803822937625755
"One, the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the",1,eng,192,0.0482897384305835
"the Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive",1,eng,193,0.048541247484909456
"Great Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse",1,eng,194,0.04879275653923541
"Buddha, the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of",1,eng,195,0.04904426559356137
the Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada.,1,eng,196,0.04929577464788732
Teacher of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After,1,eng,197,0.04954728370221328
of mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about,1,eng,198,0.049798792756539235
mankind.” Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an,1,eng,199,0.05005030181086519
Both travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s,1,eng,200,0.05030181086519115
"travelled together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey,",1,eng,201,0.0505533199195171
"together in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they",1,eng,202,0.05080482897384306
"in the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came",1,eng,203,0.051056338028169015
"the carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to",1,eng,204,0.05130784708249497
"carriage and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to a",1,eng,205,0.05155935613682092
"and Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to a place",1,eng,206,0.05181086519114688
"Pandu listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to a place where",1,eng,207,0.05206237424547284
"listened with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to a place where the",1,eng,208,0.052313883299798795
"with pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to a place where the road",1,eng,209,0.052565392354124746
"pleasure to the instructive discourse of Nârada. After about an hour’s journey, they came to a place where the road had",1,eng,210,0.0528169014084507
"to the instructive discourse of Nârada. After about an hour’s journey, they came to a place where the road had become",1,eng,211,0.05306841046277666
"the instructive discourse of Nârada. After about an hour’s journey, they came to a place where the road had become almost",1,eng,212,0.05331991951710262
"instructive discourse of Nârada. After about an hour’s journey, they came to a place where the road had become almost impassable",1,eng,213,0.05357142857142857
"discourse of Nârada. After about an hour’s journey, they came to a place where the road had become almost impassable by",1,eng,214,0.053822937625754526
"of Nârada. After about an hour’s journey, they came to a place where the road had become almost impassable by a",1,eng,215,0.05407444668008048
"Nârada. After about an hour’s journey, they came to a place where the road had become almost impassable by a washout",1,eng,216,0.05432595573440644
"After about an hour’s journey, they came to a place where the road had become almost impassable by a washout caused",1,eng,217,0.05457746478873239
"about an hour’s journey, they came to a place where the road had become almost impassable by a washout caused by",1,eng,218,0.05482897384305835
"an hour’s journey, they came to a place where the road had become almost impassable by a washout caused by a",1,eng,219,0.055080482897384306
"hour’s journey, they came to a place where the road had become almost impassable by a washout caused by a recent",1,eng,220,0.05533199195171026
"journey, they came to a place where the road had become almost impassable by a washout caused by a recent rain,",1,eng,221,0.05558350100603622
"they came to a place where the road had become almost impassable by a washout caused by a recent rain, and",1,eng,222,0.05583501006036217
"came to a place where the road had become almost impassable by a washout caused by a recent rain, and a",1,eng,223,0.05608651911468813
"to a place where the road had become almost impassable by a washout caused by a recent rain, and a farmer's",1,eng,224,0.056338028169014086
"a place where the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart",1,eng,225,0.05658953722334004
"place where the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with",1,eng,226,0.056841046277665994
"where the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a",1,eng,227,0.05709255533199195
"the road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken",1,eng,228,0.05734406438631791
"road had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel",1,eng,229,0.057595573440643866
"had become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented",1,eng,230,0.057847082494969816
"become almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further",1,eng,231,0.058098591549295774
"almost impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress.",1,eng,232,0.05835010060362173
"impassable by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala,",1,eng,233,0.05860160965794769
"by a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the",1,eng,234,0.05885311871227364
"a washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner",1,eng,235,0.059104627766599596
"washout caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of",1,eng,236,0.059356136820925554
"caused by a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the",1,eng,237,0.05960764587525151
"by a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the cart,",1,eng,238,0.05985915492957746
"a recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the cart, was",1,eng,239,0.06011066398390342
"recent rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the cart, was on",1,eng,240,0.060362173038229376
"rain, and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the cart, was on his",1,eng,241,0.060613682092555334
"and a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the cart, was on his way",1,eng,242,0.06086519114688129
"a farmer's cart with a broken wheel prevented further progress. Dêvala, the owner of the cart, was on his way to",1,eng,243,0.06111670020120724
